"id";"cultivo";"status"
"1";"Papa";"1"
"2";"Oca";"1"
"3";"Olluco";"1"
"4";"Mashua";"1"
"5";"Maíz";"1"
"6";"Haba";"1"
"7";"Yacón";"1"
"8";"Lechuga";"1"
"9";"Calabaza";"1"
"10";"Zapallo";"1"
"11";"Apio";"1"
"12";"Beterraga";"1"
"13";"Zanahoria";"1"
"14";"Ajo";"1"
"15";"Cebolla";"1"
"16";"Repollo";"1"
"17";"Rabanito";"1"
"18";"Blanquillo";"1"
"19";"Papayita";"1"
"20";"Palta";"1"
"21";"Caigua";"1"
"22";"Rocoto";"1"
"23";"Avena";"1"
"24";"Alfalfa";"1"
"25";"Cebada";"1"
"26";"Planta medicinal";"1"
"27";"Ipisa";"1"
"28";"Trigo";"1"
"29";"Espinaca";"1"
"30";"Frutilla";"1"
"31";"Perejil";"1"
"32";"Arveja";"1"
"33";"Quinua";"1"
"34";"Col";"1"
"35";"Tarwi";"1"
"36";"Acelga";"1"
"37";"Culantro";"1"
"38";"Aji";"1"
"39";"Orégano";"1"
"40";"Huacatay";"1"
"41";"Maca";"1"
"42";"Forraje";"1"
"43";"Izaño";"1"
"44";"Otros cultivos";"1"
"45";"Diversos";"1"
"46";"Tubérculos andinos";"1"
"47";"Tuna";"1"
"48";"Kiwicha";"0"
"49";"Frijol";"0"
"50";"Maiz";"0"
"51";"Frejol";"0"
"52";"Arvejas";"0"
"53";"Achira";"0"
"54";"Achote";"0"
"55";"Aguaymanto colombiano";"0"
"56";"Ajichiche";"0"
"57";"Albaro coqui";"0"
"58";"Arracacha";"0"
"59";"Arverja";"0"
"60";"Berros";"0"
"61";"Café";"0"
"62";"Calabasilla";"0"
"63";"Camote";"0"
"64";"Caña de azúcar";"0"
"65";"Cape";"0"
"66";"Cayhua";"0"
"67";"Cedrón";"0"
"68";"Chicoria";"0"
"69";"Chinchi";"0"
"70";"Chirimoya";"0"
"71";"Chunta chunta";"0"
"72";"Durazno";"0"
"73";"Granada";"0"
"74";"Granadilla colombiana";"0"
"75";"Granadilla común";"0"
"76";"Limón";"0"
"77";"Lúcuma";"0"
"78";"Mango común";"0"
"79";"Manzana";"0"
"80";"Nectarin";"0"
"81";"Orquídea";"0"
"82";"Pacay";"0"
"83";"Pajuro";"0"
"84";"Pallar";"0"
"85";"Papaya";"0"
"86";"Pepinillo";"0"
"87";"Pituca";"0"
"88";"Plátano";"0"
"89";"Rocoto común";"0"
"90";"Rocoto cuatro esquinas";"0"
"91";"Sacha tomate";"0"
"92";"Tangelo";"0"
"93";"Tomate";"0"
"94";"Tomatillo";"0"
"95";"Tumbo";"0"
"96";"Yacon blanco";"0"
"97";"Yerba yodo";"0"
"98";"Yuca";"0"
"99";"Muña";"0"
"100";"Salvia";"0"
"101";"Llantén";"0"
"102";"Valeriana";"0"
"103";"Matico";"0"
"104";"Romero";"0"
"105";"Palma real";"0"
"106";"Ajenjo";"0"
"107";"Arrayan";"0"
"108";"Santa maría";"0"
"109";"Hinojo";"0"
"110";"Ruda";"0"
"111";"Nogal";"0"
"112";"Achicoria";"0"
"113";"Diente de león";"0"
"114";"Mostaza";"0"
